Area_Name,No_of_street_light,Type_Area,No_of_men,No_of_women,Women_safety_ratio,Safe_or_unsafe,range
Bharuch Narmada Road,156,Suburban,7956,8456,0.33,Unsafe,9640412
Sector 26,77,Suburban,4365,3690,0.34,Safe,250854
Athwa,5,Urban,9434,3027,0.28,Safe,771750
Subhanpura,182,Suburban,4458,5720,0.76,Unsafe,7762691
Sector 23,179,Urban,677,2406,0.65,Safe,2307126
Kasak Circle,134,Rural,216,5953,0.6,Unsafe,4351307
Dahej,105,Urban,2354,5017,0.87,Unsafe,5257533
Vallabh Nagar,53,Rural,4075,9689,0.34,Unsafe,1122757
Sector 24,183,Rural,9979,7323,0.72,Safe,6588629
Mavdi,198,Urban,444,2378,0.31,Unsafe,508501
Pal,108,Rural,1326,281,0.64,Unsafe,2453528
Sama,101,Urban,7080,6075,0.9,Safe,9767726
P N Marg,124,Urban,2398,5893,0.5,Unsafe,5952874
Sama,164,Rural,7393,8387,0.55,Safe,7943106
Thaltej,194,Rural,7134,6977,0.29,Unsafe,9316691
Amin Marg,75,Rural,3386,3493,0.4,Unsafe,5846055
Bhayani Ni Waadi,16,Urban,1317,4003,0.84,Unsafe,1197208
Jambusar,12,Urban,8202,2217,0.11,Unsafe,4902266
Ghogha Circle,1,Urban,8643,5418,0.46,Unsafe,5846397
Vastrapur,17,Urban,6552,4524,0.75,Unsafe,251165
Sayajigunj,143,Rural,8591,5427,0.23,Unsafe,5359176
Ghatlodia,151,Suburban,3037,6248,0.36,Safe,190635
Borsad,76,Suburban,2476,894,0.64,Safe,7258811
Fatehgunj,59,Suburban,8278,4124,0.91,Safe,9300891
Chandkheda,57,Suburban,9549,5858,0.03,Safe,8001305
Alka Society,175,Suburban,7979,1117,0.36,Safe,1129098
Sector 24,181,Suburban,7838,2283,0.39,Unsafe,1433664
Sarkhej,69,Suburban,8254,1219,0.79,Safe,7565693
Bhakti Nagar,150,Rural,8290,3789,0.69,Safe,2208961
Gotri,15,Rural,9221,6766,0.8,Safe,7057769
Kalanala,45,Suburban,6745,7153,0.21,Unsafe,187640
Zanzarda Road,146,Rural,3648,6745,0.61,Unsafe,8498568
Waghodia Road,177,Rural,5086,9779,0.49,Unsafe,5223987
Vallabh Nagar,7,Urban,1886,1293,0.75,Safe,779024
Park Colony,38,Rural,2426,35,0.49,Unsafe,687976
Athwa,166,Rural,8497,1597,0.25,Unsafe,189148
Sector 16,75,Rural,5230,3023,0.53,Safe,8759259
Air Force Area,182,Urban,552,9613,0.28,Safe,1511742
Vastrapur,7,Urban,8775,8763,0.35,Safe,5055537
Palej,36,Suburban,6174,1168,0.47,Unsafe,7444781
Lambhvel,92,Urban,2345,5304,0.39,Safe,5440908
Bhakti Nagar,91,Urban,350,3109,0.12,Safe,6791105
Sarkhej,66,Urban,3324,7819,0.97,Safe,6080372
Bodakdev,183,Rural,9877,9125,0.11,Safe,5796968
Sector 24,189,Urban,4018,775,0.56,Safe,2057655
Rander,127,Suburban,934,3600,0.29,Unsafe,1797670
Rander,101,Rural,285,3858,0.08,Unsafe,5498449
Joshipura,85,Urban,8351,1088,0.95,Unsafe,9367536
Joshipura,126,Suburban,78,9651,0.85,Safe,6736356
Digvijay Plot,57,Suburban,1262,7987,0.84,Safe,7207107
Sector 28,174,Suburban,7455,6931,0.88,Unsafe,8201983
Malaviya Nagar,163,Urban,388,4574,0.81,Safe,5770301
Sector 29,187,Urban,4605,6274,0.76,Unsafe,6814085
Race Course,69,Rural,6136,3937,0.89,Unsafe,9594131
University Road,105,Suburban,6344,554,0.54,Safe,9115862
Sector 24,159,Rural,5873,4535,0.91,Safe,9273766
Dahej,57,Urban,2950,5648,0.4,Safe,9212175
Alkapuri,180,Rural,5104,7072,0.68,Unsafe,4339198
K V Road,58,Rural,8832,5337,0.36,Safe,7023947
Chitra,17,Suburban,370,4860,0.82,Unsafe,9518727
Ranjit Sagar Road,121,Rural,3032,4770,0.28,Safe,3260202
Air Force Area,4,Rural,8771,6302,0.95,Unsafe,7091953
Anklav,136,Urban,8808,2074,0.3,Unsafe,8438025
Bedi Road,108,Suburban,8253,9468,0.83,Unsafe,9013353
Sarkhej,130,Rural,3051,8549,0.39,Unsafe,9881451
Gondal Road,171,Suburban,5746,3165,0.89,Safe,2998461
Joshipura,113,Rural,6422,3675,0.49,Safe,7858819
Nirmal Nagar,68,Suburban,5341,9118,0.76,Safe,8871945
Varachha,12,Suburban,8802,15,0.36,Unsafe,1643027
Bhutkhana Chowk,163,Rural,1526,4282,0.1,Safe,8764948
Bhavnath,71,Rural,9045,9045,0.09,Unsafe,5156632
K V Road,148,Rural,3188,4025,0.61,Unsafe,8725325
Vallabh Nagar,110,Suburban,2296,123,0.46,Safe,5274315
Bhatar,12,Rural,9289,7734,0.74,Unsafe,8118248
Nirmal Nagar,54,Rural,6189,8110,0.67,Safe,2369990
Dahej,168,Rural,9300,8780,0.26,Safe,3293319
Rajkot Raiya Road,180,Urban,276,8122,0.03,Safe,166396
Maninagar,45,Urban,1390,4606,0.29,Safe,518326
Kalanala,73,Rural,2184,6753,0.2,Unsafe,5749051
Amin Marg,23,Rural,120,3793,0.88,Safe,7392792
Satellite,4,Rural,1116,3706,0.47,Unsafe,7485154
Zadeshwar,119,Rural,7711,6424,0.14,Safe,2023854
Dahej,58,Urban,5761,8233,0.18,Unsafe,7204273
Sarkhej,34,Suburban,6532,2203,0.1,Safe,1966195
Tarsali,154,Urban,7898,622,0.3,Unsafe,5666006
Vallabh Nagar,82,Rural,4094,7550,0.22,Unsafe,6527492
Sector 25,64,Rural,306,617,0.99,Unsafe,4432193
Kalanala,46,Suburban,1153,9755,0.79,Unsafe,6463904
Udhna,92,Suburban,7124,8524,0.54,Safe,3309952
Malaviya Nagar,78,Suburban,5434,7751,0.95,Safe,9760912
Thaltej,1,Urban,3585,3098,0.04,Unsafe,5104158
Bodakdev,155,Suburban,6424,9855,0.79,Safe,7718089
Udhna,187,Rural,4606,5204,0.87,Safe,6232834
Bhavnath,110,Rural,7482,8986,0.99,Unsafe,7530719
Fatehgunj,109,Rural,957,5628,0.19,Safe,7237620
Bodakdev,125,Rural,2788,319,0.79,Safe,986527
Chandkheda,84,Urban,1348,5403,0.46,Unsafe,2036572
Amod,27,Suburban,1486,8785,0.98,Unsafe,1749750
Chandkheda,142,Suburban,3757,8612,0.97,Unsafe,1434376
Mavdi,192,Urban,3088,6784,0.68,Safe,8957340
Ankleshwar GIDC,54,Rural,3538,8374,0.78,Unsafe,1114418
Boriavi,148,Suburban,3975,8227,0.76,Unsafe,3008518
Ankleshwar GIDC,143,Urban,3344,6866,0.09,Safe,2830650
Nirmal Nagar,16,Rural,6137,7109,0.15,Safe,1783324
Pal,163,Suburban,8139,5633,0.65,Unsafe,6857262
Alkapuri,61,Suburban,1179,8306,0.21,Unsafe,6161630
Sabarmati,68,Suburban,482,8168,0.48,Safe,1736457
Chitra,169,Urban,30,4024,0.29,Safe,6115580
Digvijay Plot,98,Suburban,5684,4275,0.1,Unsafe,4938124
Adajan,101,Suburban,4656,5121,0.31,Unsafe,1696310
Subhanpura,178,Urban,2135,4410,0.92,Unsafe,4884173
Athwa,57,Urban,6611,1450,0.08,Unsafe,1028872
Sector 23,200,Rural,8992,7655,0.31,Unsafe,4254070
Ghanshyam Nagar,84,Urban,9440,6089,0.79,Safe,5712900
Alka Society,72,Urban,5813,6542,0.57,Unsafe,4969273
Nirmal Nagar,191,Rural,518,7563,0.87,Safe,6202111
Kalwa Chowk,1,Suburban,1188,7480,0.32,Safe,9479011
Adajan,182,Rural,4309,9891,0.24,Safe,3531052
Bhatar,52,Suburban,2729,85,0.9,Unsafe,1020417
Boriavi,92,Suburban,7208,8863,0.75,Unsafe,3904097
Dhoraji Road,40,Rural,2746,1972,0.88,Safe,6572213
Fatehgunj,139,Urban,6644,2091,0.88,Safe,4880146
Sector 28,82,Rural,4985,2895,0.89,Safe,5831119
Ghogha Road,197,Rural,2935,3164,0.18,Unsafe,3506052
Jhagadia,93,Suburban,999,8619,0.36,Unsafe,2189378
Green City,75,Suburban,1333,6319,0.11,Safe,439174
Kalavad Road,154,Rural,1974,7913,0.9,Unsafe,4683910
Bhayani Ni Waadi,140,Urban,4746,4222,0.35,Safe,3039172
Vidyanagar,41,Urban,3261,1663,0.32,Safe,9394566
Sector 21,101,Suburban,2559,4001,0.08,Unsafe,7622102
Patel Colony,173,Rural,9036,5683,0.68,Safe,5787271
Jambusar,95,Suburban,3131,4212,0.4,Safe,2865641
Vidyanagar,171,Urban,8707,4754,0.75,Safe,4622579
Borsad,13,Urban,6023,7409,0.87,Unsafe,2973387
Mavdi,43,Rural,8744,6163,0.04,Unsafe,4439380
Sabarmati,136,Urban,5079,6086,0.11,Safe,3484212
Udhna,0,Suburban,3511,9695,0.43,Safe,7131123
Nirmal Nagar,32,Suburban,8317,2154,0.39,Unsafe,6660395
Sector 28,154,Urban,2543,8166,0.98,Unsafe,6087625
Vidyanagar,145,Rural,8784,7936,0.05,Safe,3729344
Sector 23,31,Suburban,1828,6816,0.83,Unsafe,3492207
Dhoraji Road,66,Urban,3973,6547,0.58,Safe,8437175
Bharuch Narmada Road,92,Urban,77,2362,0.09,Unsafe,484740
Boriavi,82,Suburban,3277,7459,1.0,Safe,1543931
Sector 25,184,Rural,7112,3989,0.5,Unsafe,7459079
Ghanshyam Nagar,200,Rural,8142,9259,0.29,Unsafe,2676191
Morbi Road,177,Urban,4319,8961,0.47,Unsafe,1716273
Gotri,132,Suburban,1370,9126,0.12,Unsafe,9319333
Digvijay Plot,139,Rural,3674,8306,0.05,Safe,393399
Piplod,23,Rural,3670,7462,0.42,Unsafe,2948712
Adajan,174,Urban,8796,4622,0.06,Unsafe,5840282
Fatehgunj,166,Rural,4882,7346,0.25,Safe,5047528
K V Road,155,Urban,9576,293,0.22,Safe,6731532
Vadtal,152,Suburban,7236,321,0.08,Unsafe,7745386
Park Colony,114,Suburban,7503,2429,0.42,Safe,954465
Bodakdev,107,Rural,7508,6179,0.95,Safe,5963941
Sector 21,94,Rural,5401,5085,0.89,Safe,2108406
Chitra,127,Urban,7796,4011,0.86,Unsafe,1422232
Vesu,5,Rural,4745,256,0.89,Safe,5978900
Sector 23,115,Rural,5553,2196,0.75,Unsafe,3268030
Varachha,160,Urban,7351,7749,0.55,Safe,6990910
Nirmal Nagar,157,Rural,5105,9486,0.11,Safe,4978383
Lambhvel,5,Rural,293,5948,0.97,Unsafe,4421351
Sector 16,29,Urban,2263,7923,0.31,Unsafe,8543313
Old NH-8,189,Rural,9240,4513,0.7,Safe,2921449
Pal,163,Suburban,6784,8602,0.52,Unsafe,6670462
Kasak Circle,73,Rural,9457,9023,0.28,Safe,9438897
Zanzarda Road,132,Rural,2976,6092,0.43,Safe,1042726
Sector 16,97,Suburban,5578,1425,0.59,Unsafe,882453
Vastrapur,109,Urban,1706,3487,0.23,Safe,9206053
Ankleshwar GIDC,188,Suburban,2823,4635,0.32,Unsafe,1197610
Digvijay Plot,83,Suburban,4914,9125,0.68,Safe,8608336
P N Marg,114,Rural,8241,4258,0.7,Unsafe,6585743
Borsad,159,Suburban,2048,9598,0.22,Safe,2980968
Khambhat,5,Suburban,3352,267,0.38,Unsafe,1277684
P N Marg,13,Suburban,1035,7146,0.21,Unsafe,4121051
Sector 28,84,Urban,6153,950,0.1,Safe,9224126
Sama,13,Rural,8299,3584,0.83,Unsafe,2485347
Nirmal Nagar,25,Suburban,9775,6975,0.94,Safe,6501516
Ghogha Circle,198,Rural,4586,5609,0.6,Unsafe,6030868
Patel Colony,130,Urban,1137,7958,0.92,Safe,8310128
Khambhat,167,Urban,4558,6589,0.33,Unsafe,5460677
Sector 28,127,Rural,2939,4134,0.98,Unsafe,5161277
Sector 23,65,Suburban,7235,5890,0.3,Safe,7534816
Adajan,17,Suburban,6230,5481,0.25,Safe,9604942
Race Course,128,Suburban,4762,9,0.18,Safe,3006607
Sector 21,166,Urban,6956,8586,0.11,Unsafe,2689804
Sayajigunj,169,Urban,342,2359,0.03,Unsafe,985158
Kalavad Road,171,Urban,6985,8975,0.93,Safe,3406076
Dumas,179,Urban,1003,7917,0.83,Unsafe,8898689
Sama,105,Rural,7524,7278,0.88,Unsafe,2650155
Sector 24,172,Suburban,7334,8870,0.53,Safe,2079697
Waghodia Road,123,Rural,3802,781,0.62,Unsafe,2937053
Morbi Road,29,Suburban,5220,1614,0.47,Safe,3783870
Rander,198,Suburban,4526,1712,0.54,Safe,6266582
Sector 25,31,Rural,6042,309,0.25,Unsafe,3082455
Karelibaug,80,Rural,7490,8055,0.49,Unsafe,3393829
Maninagar,120,Urban,3781,1786,0.7,Safe,5671227
Fatehgunj,16,Rural,3752,1862,0.2,Safe,9213912
Chandkheda,166,Urban,3415,2387,0.8,Safe,1680934
Sector 17,116,Rural,2969,2130,0.56,Unsafe,8355235
Green City,138,Suburban,9775,1453,0.49,Unsafe,7100381
Bedi Road,103,Urban,9003,3226,0.38,Unsafe,1410325
Sabarmati,132,Rural,6238,3800,0.9,Unsafe,983608
Sabarmati,197,Rural,992,5504,0.55,Unsafe,5902058
Jambusar,70,Suburban,23,3028,0.3,Safe,3680865
Rander,65,Urban,5526,9233,0.26,Safe,6041382
Bhayani Ni Waadi,159,Urban,606,5007,0.5,Unsafe,3828835
Morbi Road,115,Rural,156,4913,0.44,Unsafe,268059
Chitra,163,Rural,8038,2914,0.99,Unsafe,4705093
Palej,135,Rural,1562,2736,0.42,Safe,7405810
Sector 17,6,Urban,240,7308,0.03,Unsafe,5283982
Rajkot Raiya Road,65,Urban,3141,8588,0.11,Unsafe,849958
Dahej,140,Suburban,6517,8859,0.3,Safe,306389
Thaltej,85,Suburban,7873,152,0.1,Unsafe,210286
Bedi Road,165,Rural,6057,7630,0.27,Unsafe,1703733
Bhayani Ni Waadi,165,Urban,7028,2883,0.09,Safe,5988854
Sector 30,120,Rural,6483,387,0.47,Unsafe,8754937
Digvijay Plot,139,Suburban,3121,2464,0.12,Safe,7681545
Satellite,136,Suburban,9063,5574,0.47,Unsafe,2652603
Sector 16,12,Suburban,9245,2341,0.0,Safe,9873639
Jambusar,151,Suburban,9779,1303,0.04,Unsafe,9079859
Sector 24,68,Urban,4371,3397,0.79,Unsafe,1409276
Digvijay Plot,178,Urban,8365,1689,0.08,Safe,464189
Old NH-8,189,Urban,1230,5645,0.59,Unsafe,1107114
Satellite,48,Rural,8410,6643,0.59,Unsafe,7553426
Sayajigunj,27,Urban,7558,1262,0.44,Unsafe,5535319
Park Colony,68,Suburban,9145,9586,0.25,Unsafe,1520400
Sayajigunj,116,Rural,9629,9009,0.52,Unsafe,1217997
Gotri,72,Suburban,1880,9191,0.11,Safe,1756929
Vadtal,174,Urban,3715,5203,0.13,Safe,4843460
Chitra,192,Rural,9793,3151,0.51,Safe,1168701
Alkapuri,197,Suburban,721,8823,0.13,Safe,701010
Bhutkhana Chowk,168,Suburban,373,4256,0.94,Safe,9977445
Mavdi,162,Urban,3136,1906,0.73,Unsafe,835080
Ankleshwar GIDC,176,Rural,2,2173,0.57,Unsafe,9678694
Naranpura,47,Rural,7437,3703,0.68,Safe,4223063
Palej,130,Suburban,840,962,0.18,Safe,9033843
Ghatlodia,35,Suburban,677,1988,0.18,Safe,7153695
Bharuch Narmada Road,192,Suburban,8519,8793,0.64,Safe,7199127
Fatehgunj,57,Suburban,5372,4913,0.99,Unsafe,4351274
Talav Gate,75,Suburban,5214,8811,0.94,Safe,3006983
Green City,175,Urban,4944,2162,0.19,Unsafe,3388064
Nirmal Nagar,11,Rural,2814,1939,0.09,Safe,285659
Kalawad Road,8,Suburban,7101,1422,0.05,Unsafe,2708086
Boriavi,20,Rural,1270,5221,0.09,Unsafe,3432229
Bodakdev,60,Rural,8441,2760,0.16,Unsafe,2173243
P N Marg,3,Suburban,1064,8752,0.73,Safe,5861071
Maninagar,189,Rural,9336,2945,0.56,Unsafe,3274589
Gondal Road,59,Urban,4467,4619,0.86,Unsafe,5146924
Piplod,97,Suburban,3967,733,0.94,Safe,8598961
Sector 26,184,Rural,7707,5633,0.69,Unsafe,6780715
Palej,195,Rural,9056,5164,0.5,Unsafe,1482563
Gondal Road,80,Suburban,9044,7571,0.08,Safe,1117970
Sayajigunj,6,Rural,2164,1180,0.13,Safe,9181126
Sector 21,188,Rural,5192,8747,0.66,Unsafe,9508466
Bharuch Narmada Road,72,Rural,390,5456,0.3,Unsafe,7070617
Jambusar,20,Urban,524,466,0.44,Safe,6684768
Vadtal,149,Suburban,7956,7539,0.48,Safe,4703389
Kalavad Road,176,Rural,7190,8157,0.43,Safe,8052596
Patel Colony,141,Suburban,9050,3991,0.13,Safe,6810714
Sector 23,133,Urban,9175,9819,0.76,Safe,9113530
